title,description,link,type
Transparent Language,"Online language-learning resource that builds listening, reading, speaking, and writing skills.",https://www.slcl.org/resources/transparent-language,Subscription Database
Treehouse,"Treehouse is an online learning platform that teaches coding and web development skills, such as HTML, CSS, JavaScript, and PHP.",https://www.slcl.org/resources/treehouse,Subscription Database
U.S. Hispanic Newsstream,Offers access to the largest collection of leading Hispanic newspapers.,https://www.slcl.org/resources/us-hispanic-newsstream,Subscription Database
U.S. Reports,Access the official opinions of the Supreme Court of the United States. (vol. 502-Vol. 582),https://www.slcl.org/resources/us-reports,Website
U.S. Serial Set,Browsable digitized a portion of the House and Senate documents and reports beginning in 1817.  [Library of Congress],https://www.slcl.org/resources/us-serial-set,Website
U.S. Supreme Court Decisions,Search for U.S. Supreme Court decisions since 1760.,https://www.slcl.org/resources/us-supreme-court-decisions,Website
UCLA: Contemporary Music Score Collection,"Includes the digital, open access scores from the Contemporary Score Edition series and  the Kaleidoscope 2020 Call for Scores.",https://www.slcl.org/resources/ucla-contemporary-music-score-collection,Website
Udemy,On-demand video courses taught by world-class instructors across 75 categories.,https://www.slcl.org/resources/udemy,
United Nations,"Provides information about the United Nations, its mission, documents and projects.",https://www.slcl.org/resources/united-nations,Website
United States Code,The general and permanent laws of the United States.,https://www.slcl.org/resources/united-states-code,Website
United States Government Manual,Access the official handbook of the U.S. Government.,https://www.slcl.org/resources/united-states-government-manual,Website
United States Government Publishing Office,Prints and binds documents produced by and for the federal government.,https://www.slcl.org/resources/united-states-government-publishing-office,Website
United States National Library of Medicine Clinical Studies,Database of privately and publicly funded clinical studies conducted around the world.,https://www.slcl.org/resources/united-states-national-library-medicine-clinical-studies,Website
United States Reports,Final versions of U.S. Supreme Court opinions.,https://www.slcl.org/resources/united-states-reports,Website
United States Statutes at Large (1789-1951),Full text of public and private laws passed by Congress from 1789-1951.,https://www.slcl.org/resources/united-states-statutes-large-1789-1951,Website
United States Statutes at Large (1951-2016),Permanent collection of laws and resolutions enacted during each session of Congress.,https://www.slcl.org/resources/united-states-statutes-large-1951-2016,Website
USA Today Collection,"Offers breaking news, entertainment, sports, and business coverage. [Newsbank]",https://www.slcl.org/resources/usa-today,Subscription Database
USA.gov,Online guide to locate federal government information and services.,https://www.slcl.org/resources/usa-gov,Website
Value Line,"Investment newsletter that profiles companies activity traded on the NYSE, AMEX, and NASDAQ stock exchanges and speculates on their future performance.",https://www.slcl.org/resources/value-line,Subscription Database
Virginia County Court Records on Microfilm,An online listing of court records on microfilm that can be borrowed through interlibrary loan. [Library of Virginia],https://www.slcl.org/resources/virginia-county-court-records-microfilm,Website
Wall Street Journal,"Provides news and analysis on business, economics, and global markets.",https://www.slcl.org/resources/wall-street-journal,Subscription Database
Washington Post,"Coverage of national politics, policy, and investigative reporting.",https://www.slcl.org/resources/washington-post,Subscription Database
WatchKnowLearn,A list of the best K-12 educational videos freely available on the internet.,https://www.slcl.org/resources/watchknowlearn,Website
Web Library of Seventeenth-Century Music,"Find a growing catalogue of music in modern editions for scholars, performers, and students.",https://www.slcl.org/resources/web-library-seventeenth-century-music,Website
Wide Open School,A free collection of the best online learning experiences for kids curated by the editors at Common Sense.,https://www.slcl.org/resources/wide-open-school,Website
Wolfram MathWorld,"Summaries and explanations of mathematical concepts, downloadable Mathematica notebooks, interactive demonstrations, and other math resources.",https://www.slcl.org/resources/wolfram-mathworld,Website
Women's Studies,"Discover manuscripts, newspapers, periodicals and more that demonstrate the foundation of women's struggles and triumphs. [Gale Primary Sources]",https://www.slcl.org/resources/womens-studies,Subscription Database
Workforce Development Resource Ecosystem Map - St. Louis Region,View a map depicting how organizations focused on workforce development are connected within the region.,https://www.slcl.org/resources/workforce-development-resource-ecosystem-map-st-louis-region,Website
World Airport Codes,"Search for airports by city, state, country, or code, and find links to airport sites.",https://www.slcl.org/resources/world-airport-codes,Website
World Book,Access the classic World Book encyclopedia online for easy searching and learning.,https://www.slcl.org/resources/world-book,Subscription Database
World Book Advanced,"Designed to support personalized learning with trusted encyclopedia articles, and global newspapers and government websites.",https://www.slcl.org/resources/world-book-advanced,Subscription Database
World Book Kids,"Developed for young users, with easy-to-read articles, images and videos, games, science projects, and activities.",https://www.slcl.org/resources/world-book-kids,
World Book Student,"Thousands of articles and multimedia with interactive maps, daily current events, assessment tools for educators and a detailed biography center.",https://www.slcl.org/resources/world-book-student,Subscription Database
World Book Timelines,Investigate the chronological significance of world events and the lives of notable historical figures using hundreds of interactive timeliness.,https://www.slcl.org/resources/world-book-timelines,Subscription Database
World Fantasy Awards,Given each year for the best fantasy fiction published during the previous calendar year.,https://www.slcl.org/resources/world-fantasy-awards,Website
World History,"Collection of primary sources, reference works, and scholarly journals providing materials for the study of World History. [Gale in Context]",https://www.slcl.org/resources/world-history,Subscription Database
WorldAtlas,"Maps, printouts, photos, and encyclopedia and dictionary entries on geography, history, environment, and culture.",https://www.slcl.org/resources/worldatlas,Website
WorldCat,"An online catalog allowing users to search for items in more than 10,000 libraries in the U.S. and foreign countries.",https://www.slcl.org/resources/worldcat,Website
WorldCat Advanced Search,"Contains catalog records for books, web resources, maps, musical scores, video tapes and journals. [FirstSearch]",https://www.slcl.org/resources/worldcat-firstsearch,Subscription Database
WorldCat Discovery (Tipasa),"Search for books, ebooks, periodicals, government documents, manuscripts, maps, audiovisual materials, music scores, and collections of digital items in libraries around the World.",https://www.slcl.org/resources/worldcat-discovery,Subscription Database
Youngzine,News articles for kids grouped into categories.,https://www.slcl.org/resources/youngzine,Website
Zamzar,File conversion site that allows you to upload and convert a file to a different type.,https://www.slcl.org/resources/zamzar,Website
